original_sponsor,clustered_sponsor
HOTEL NORMANDIE,Hotel Normandie
KING CHRISTIAN IX OF DENMARK,(king Christian Ix Of Denmark)
RED STAR LINE- ANTWERPEN -NY,Red Star Line - Antwerpen  - NY
POLICE SURGEONS ASSOCIATION OF PHILADELPHIA,Police Surgeons Association Of Philadelphia
EDWARD SMITH & CO.,Edward Smith & Co.
THE HYGEIA HOTEL,The Hygeia Hotel
MANHATTAN SINGLE TAX CLUB,Manhattan Single Tax Club
ALLEGEMEINE CARTENBAU-AUSSTELLUNG,Allegemeine Cartenbau-ausstellung
PUTNEY'S,Putney's
HARDWARE MERCHANTS ASSOCIATION OF PHILADELPHIA,Hardware Merchants Association Of Philadelphia
SOCIETY OF THE SOCIETY OF COLONIAL WARS IN THE STATE OF NEW YORK,Society Of Colonial Wars
THE CAMP-FIRE CLUB,The Camp-fire Club
REPUBLICANS,Republican House
PATENT LAW ASSOCIATON OF WASHINGTON,Patent Law Associaton Of Washington
SCOTIA LODGE NO. 634,Scotia Lodge No. 634
HOTEL AMPERSAND,Hotel Ampersand
U.S.S. VERMONT,U.S.S. Vermont
ARTHUR L. MERRIAM,Arthur L. Merriam
COMMERCIAL CLUB OF CINCINNATI,Commercial Club
DORLON'S OYSTER HOUSE,Dorlon's Oyster House
KEYSTONE RESTAURANT,Keystone Restaurant
AMERICAN PHARMMCEUTICAL ASSOCIATION,American Pharmmceutical Association
HILLEL LITERARY ASSOCIATION,Hillel Literary Association
FRIDAY NIGHT CLUB,Friday Night Club
HOTEL BRISTOL,Bristol Hotel
NEW JERSEY STATE BAR ASSOCIATION,New Jersey State Bar Association
USMA,Usma
THE HOLBORN RESTAURANT,The Holborn Restaurant
ROCHESTER ENGINEERING SOCIETY,Rochester Engineering Society
ST. PAUL SCHOOL ALUMNI,St. Paul School Alumni
WESTCHESTER COUNTY BAR ASSOCIATION,Westchester County Bar Association
ASSOCIATION OF AMERICAN PHYSICIANS,Association Of American Physicians
SCHWEIZERHOF & LUZERNERHOF,Schweizerhof & Luzernerhof
'ST,'st
NEW YOK JEWELERS BOARD OF TRADE,New Yok Jewelers Board Of Trade
NORTHPORT YACHT CLUB,Northport Yacht Club
WHOLESALE SADDLERY ASSOCIATION,Wholesale Saddlery Association
CITIZENS OF NASSAUI,Citizens Of Nassaui
Drones,Drones
Le Prince De Galles,Le Prince De Galles
Schlosshotel Gehrhus,Schlosshotel Gehrhus
La Vie en Rose,La Vie En Rose
Georges Blanc,Georges Blanc
le petit bedon,Le Petit Bedon
Ambassador Snack,Ambassador Snack
The Chinese Rathskeller,The Chinese Rathskeller
International Geneva Association,International Geneva Association
L'Aiglon,L'aiglon
'The Rochester Chamber Of Commerce Convention Hall,'the Rochester Chamber Of Commerce Convention Hall
'Breakfast,'breakfast
'Hotel Astor,'hotel Astor
ALEXANDER,Alexander
Foley's Terrace,Foley's Terrace
Shadowbrook,Shadowbrook
Rumpelmayer's,Rumpelmayer's
The Coffee House,The Coffee House
Hotel Eugenia Victoria,Hotel Eugenia Victoria
New York Hilton Hotel,New York Hilton Hotel
'T.S.S. \Ocean Monarch\''''','t.S.S. \ocean Monarch\'''''
Forsgate Country Club,Forsgate Country Club
'Tv. \Michelangelo\''''','tv. \michelangelo\'''''
Neuman & Bogdonoff,Neuman & Bogdonoff
Parson's Seafood Restaurant,Parson's Seafood Restaurant
The Waldorf Astoria; Grand Ballroom,The Waldorf Astoria
London Hilton   The Ballroom,London Hilton   The Ballroom
Essex House At The Colonnades,Essex House At The Colonnades
El 91,El 91
Victor's Bar,Victor's Bar
Miller Brothers,Miller Brothers
Hotel Taft Grill,Hotel Taft Grill
Hotel Nicollet,Hotel Nicollet
Stonewall Jackson Hotel,Stonewall Jackson Hotel
Club De Banqueros,Club De Banqueros
3dje Etasje MÃ¸llhausen,3dje Etasje Mã¸llhausen
The Stevens,The Stevens
Revere Room,Revere Room
Hotel Ambassador,Ambassador Hotel
Taj,Taj
The Hotel Roosevelt,The Hotel Roosevelt
Les Jardin Des Jardins,Les Jardin Des Jardins
National Republican Club House [?],National Republican Club
S.S. Majestic,S.S. Majestic
El Tovar,El Tovar
U.S.S. Arkansas,U.S.S. Arkansas
Mills Building Restaurant,Mills Building Restaurant
Thwaite's Shore House,Thwaite's Shore House
Nadal's CafÃ© and Restaurant,Nadal's Cafã© And Restaurant
Hotel Albemarle Hoffman,Hotel Albemarle Hoffman
The Buffalo Orpheus,The Buffalo Orpheus
Ritz Carlton New York,Ritz Carlton
Yale University,Yale University
NEW STATE HOUSE,New State House
EBBITT HOUSE,Ebbitt House
LEGGERA ASSOCIATION,Leggera Association
CHATEAU FRONTENAC,Chateau Frontenac
PACIFIC MAIL SS CO.,Pacific Mail Ss Co.
UNITARIAN FESTIVAL,Unitarian Festival
NEIL HOUSE,Neil House
WILLIAMS ALUMNI ASSOCIATION OF NEW YORK,Williams Alumni Association Of New York
SHERRY'S,Sherry's
PULLMAN BUFFET,Pullman Buffet
HOTEL ST. REGIS,Hotel St. Regis
L,L
A. AND A.S.R.,A. And A.S.R.
LOGAN HOUSE,Logan House
NIPPON YUSEN KAISHA - S.S.KOBI MARU,Nippon Yusen Kaisha
HUBEL'S RESTAURANT AND HOTEL,Hubel's Restaurant & Hotel
U.S.S.SAN FRANCISCO,U.S.S. San Francisco
QUEEN'S OWN RIFLES OF CANADA,Queen's Own Rifles Of Canada
THE CLOVER CLUB,The Clover Club
TRAFALGAR ?,Trafalgar ?
THE PLACE,The Place
LAKE VIEW HOUSE,Lake View House
LACKAWANNA RAILROAD DINING ROOM,Lackawanna Railroad Dining Room
PREBLE HOUSE,Preble House
MANUFACTURERS CLUB OF PHILADELPHIA,Manufacturers' Club
(AMERICAN LEGATION),(american Legation)
GOVERNOR JAMES H. HIGGINS,Governor James H. Higgins
MUSICA DEGLI ALLIEVI CARACINIERI,Musica Degli Allievi Carabiniere
CENTRAL DINING ROOM AND RESTAURANT,Central Dining Room And Restaurant
QUEEN'S ROYAL WEST KENT REGIMENT,Queen's Royal West Kent Regiment
GILLESPIE'S RESTAURANT,Gillespie's Restaurant
FRIENDLY SONS OF ST PATRICK,Friendly Sons Of St Patrick
THE ANNEX,The Annex
ELLICOTT CLUB,Ellicott Club
WHOLESALE SADDLERY ASSOCIATION OF THE UNITED STATES,Wholesale Saddlery Association
RAFAEL PEON Y LOZA,Rafael Peon Y Loza
BLATT COUNTY MEDICAL SOCIETY,Blatt County Medical Society
ST. DAVID'S BENEVOLENT SOCIETY OF THE CITIES OF NEW YORK AND BROOKLYN,St. David's Benevolent Society Of The Cities Of New York & Brooklyn
FLAT IRON RESTAURANT & CAFE,Flat Iron Restaurant
R.W.AND M.L. EHLERS,R.W.And M.L. Ehlers
FRIENDS OF HON.JOHN P. WINDOLPH,Friends Of Hon.John P. Windolph
H.M.S. EURYALUS,H.M.S. Euryalus
THE RICHELIEU & ONTARIO NAVIGATION CO.,The Richelieu & Ontario Navigation Co.
NEW YORK & LIVERPOOL U.S. MAIL STEAMER  ARCTIC,New York & Liverpool U.S. Mail Steamer  Arctic
(POLICE OR FIRE DEPARTMENT?),(police Or Fire Department?)
Kallaren Diana,Kallaren Diana
Baguita Trattoria Toscana,Baguita Trattoria Toscana
Grand Hotel Restaurant Central,Grand Hotel Restaurant Central
Au Cochon D'Or,Au Cochon D'or
L'Ommie's,L'ommie's
Relais Plaza,Relais Plaza
Fuchsen-Stuben,Fuchsen-stuben
The Plaza,The Plaza
'Fourth Annual Dinner,'fourth Annual Dinner
The Little Campus Inn,The Little Campus Inn
MÃ¼hlenkanper FÃ¤hrhaus,Mã¼hlenkanper Fã¤hrhaus
Rudi's,Rudi's
Pschorr Bierhallen,Pschorr Bierhallen
Pear And Pardritge,Pear And Pardritge
Mayfair Farms,Mayfair Farms
Hotel Pierre Marques,Hotel Pierre Marques
The Flying Clipper Restaurant,The Flying Clipper Restaurant
Arnold's Turtle Vegetarian CafÃ©,Arnold's Turtle Vegetarian Cafã©
The Roundtable,The Roundtable
The Green Mountain Restaurant Diner,The Green Mountain Restaurant Diner
Dogwood Room,Dogwood Room
Ratskeller MÅ±nchen,Ratskeller Må±nchen
La Choza,La Choza
Mr. William Shakespeare's,Mr. William Shakespeare's
Dinkelacker HirschbrÃ¤u,Dinkelacker Hirschbrã¤u
La Gondola,La Gondola
Sheraton East Hotel,Sheraton East Hotel
George Phillips' Harbor House,George Phillips' Harbor House
LÃ¶wenbrÃ¤u Gardens   New York World's Fair,Lã¶wenbrã¤u Gardens   New York World's Fair
'T/V \Cristoforo Colombo\''''','t/v \cristoforo Colombo\'''''
Athens Olympia CafÃ©,Athens Olympia Cafã©
Kathy's Bakery & CafÃ©,Kathy's Bakery & Cafã©
Queen Elizabeth Ii,Queen Elizabeth II
Sirloin Room,Sirloin Room
Augustiner CaststrÃ¤tten,Augustiner Caststrã¤tten
Cesapeake Restaurant,Cesapeake Restaurant
New Venetian Room,New Venetian Room
Dixie Flagler,Dixie Flagler
Rock Island Twin Star Rocket,Rock Island Twin Star Rocket
Roosevelt House,Roosevelt House
Myrtle Bank Hotel,Myrtle Bank Hotel
Paradise Manor,Paradise Manor
Hotel Drake Wiltshire,Hotel Drake Wiltshire
Ambassador Grill,Ambassador Grill
Rotisserie Du Cardinal,Rotisserie Du Cardinal
Hotel Muehlebach,Hotel Muehlebach
Rathskeller,Rathskeller
Hotel Bevan,Hotel Bevan
Long Island Business College Hall,Long Island Business College
Daylight Luncheon,Daylight Luncheon
Fleischmann's Vienna Restaurant,Fleischmann's Vienna Model Bakery
The London Lounge,The London Lounge
U.S. Naval Training Station,U.S. Naval Training Station
Pennsylvania Railroad Restaurants,Pennsylvania Railroad
Long Island Business College,Long Island Business College
The Merchants' Club,The Merchant's Club
 Jr.', Jr.'
Hotel Champlain,Champlain Hotel
Cafeteria Buffet,Cafeteria Buffet
THE ALBANY,The Albany
HOTEL JERMYN,Hotel Jermyn
CHILDS' LUNCH ROOMS,Child's Lunch Rooms
DEPEW INN,Depew Inn
USMS,U.S.M.S
(HARVARD CLUB),Harvard Club
CHILDS' LUNCH ROOM,Child's Lunch Rooms
OREGON SHORT LINE DINING CAR SERVICE,Oregon Short Line Dining Car Service
OREGON RAILROAD & NAVIGATION CO.,Oregon Railroad & Navigation Co.
FLEISCHMANN'S VIENNA MODEL BAKERY,Fleischmann's Vienna Model Bakery
TATLER'S HOTEL,Tatler's Hotel
CANADIAN PACIFIC RAILWAY CO. - S.S. ATHABASCA,Canadian Pacific Railway Co.
SONS OF THE REVOLUTION OF MISSOURI,Sons Of The Revolution
HOTEL CHITTENDEN,Hotel Chittenden
(NDCITIZENS OF NEW YORK?),(ndcitizens Of New York?)
WAREHOUSEMENS' ASSOCIATION OF THE PORT OFNEW YORK AND THE NEW YORK FURNITURE WAREHOUSEMENS' ASSOCIATION,Warehousemens' Association Of The Port Ofnew York And The New York Furniture Warehousemens' Association
(DEMOCRATIC CLUB),(democratic Club)
HORNELLSVILLE MEDICAL AND SURGICAL ASSOCIATION,Hornellsville Medical And Surgical Association
OUT-OF-TOWN CLUB,Out-of-town Club
RUBINSTEIN CLUB,Rubinstein Club
COTILLION CLUB,Cotillion Club
PAWNBROKERS' ASSOCIATION OF THE CITY OF NEW YORK,Pawnbrokers' Association Of The City Of New York
'O.& O.S.S. ''COPTIC''','o.& O.S.S. ''coptic'''
CHAMBER OF COMMERCE OF NEW HAVEN (CT),Chamber Of Commerce
ATZUNGSZETTEL,Atzungszettel
PROFESSOR JOHN W. BURGESS ?,Professor John W. Burgess ?
H.M.M.B.A.,H.M.M.B.A.
CRESCENT ATHLETIC CLUB,Crescent Athletic Club
GRAND HOTEL ST. JAMES,Grand Hotel St. James
MASONS,Masons
SOCIETY OF CINCINNATI IN THE STATE OF RHODE ISLAND,Society Of Cincinnati In The State Of Rhode Island
PROVINZIAL-LIEDERTAFEL,Provinzial Liedertafel
MONOPOL-HOTEL,Monopol-hotel
CLINTON HOTEL,Clinton Hotel
SHOE AND LEATHE MANUFACURERS,Shoe And Leathe Manufacurers
UNIONE PANETTIERI ITALIANI,Unione Panettieri Italiani
(MRS. H. MC K. TWOMBLEY),(mrs. H. Mc K. Twombley)
EASTERN ALUMNI OF UNIVERSITY OF CHICAGO,Eastern Alumni Of University Of Chicago
NEWARK'S NEW CITY HALL OPENING,Newark's New City Hall Opening
BUSHWICK CLUB,Bushwick Club
THE WANAMAKER STORE TEA ROOM,The Wanamaker Store Tea Room
ROYAL ORDER OF SCOTLAND,Royal Order Of Scotland
Le Restaurant Lyonnais et ses Vieilles Traditions,Le Restaurant Lyonnais Et Ses Vieilles Traditions
La Posada de Santa Fe,La Posada De Santa Fe
St. Regis - Sheraton,St. Regis - Sheraton
The Versailles/Claude Monet-Giverny Foundation,The Versailles/claude Monet-giverny Foundation
Park Avenue Cafe Townhouse,Park Avenue Cafe Townhouse
Le Coq de La Maison Blance,Le Coq De La Maison Blance
Le Vieux Galion,Le Vieux Galion
The King of the Sea,The King Of The Sea
Unkown,Unkown
Alcatraz Island,Alcatraz Island
Alumni Association of the College of Physicians and Surgeons of San Francisco,Alumni Association Of The College Of Physicians And Surgeons Of San Francisco
Quo Vadis Restaurant,Quo Vadis Restaurant
Persian Room,Persian Room
'Buffet Froid,'buffet Froid
Karras Beef House,Karras Beef House
Henry Thiele At The Dunes,Henry Thiele At The Dunes
The Irish Pavillion,The Irish Pavillion
Joe Colucci's Puccini Restaurant,Joe Colucci's Puccini Restaurant
The SautÃ© CafÃ©,The Sautã© Cafã©
Delegates Dining Room,Delegates Dining Room
The Atlanta,The Atlanta
'R.M.S. \Mauretania\''''','r.M.S. \mauretania\'''''
Lansing Country Club,Lansing Country Club
Ratsweinkeller Schoneberg Restaurant,Ratsweinkeller Schoneberg Restaurant
The Ballroom Of The Hotel Plaza,The Ballroom Of The Hotel Plaza
S.S.America,S.S.America
Turkey Roost,Turkey Roost
Hotel Del Coronado,Del Coronado Hotel
Jewish Community House,Jewish Community House
Hotel Jefferson,Hotel Jefferson
Hotel Lexington,Hotel Lexington
Cape Cod Room,Cape Cod Room
Duff's,Duff's
Shevlin's New Chop House,Shevlin's New Chop House
Marine Grill,Marine Grill
Luncheonette,Luncheonette
The Hotel Vancouver,The Hotel Vancouver
Eaton's,Eaton's
The Light Of Asia Restaurant,The Light Of Asia Restaurant
'S.S. ''Minnetonka''''''','s.S. ''minnetonka'''''''
Matson Line,Matson Line
Elk's Club,Elk's Club
Princeton Inn,Princeton Inn
The Aristocrat,The Aristocrat
Union Square Hotel,Union Square Hotel
Hotel Fort des Moines,Hotel Fort Des Moines
Ye Peg Woffington Coffee House,Ye Peg Woffington Coffee House
Masonic Building,Masonic Building
Holland Hall,Holland Hall
Greenhut-Siegel Cooper Co.,Greenhut-siegel Cooper Co.
Hotel Pfister,Hotel Pfister
Jeo's Restaurant,Joe's Restaurant
Jefferson Hotel,Hotel Jefferson
Gregory's Restaurant,Gregory's Restaurant
'CLYDE STEAMSHIP CO.,'clyde Steamship Co.
CLAREMONT HOTEL,Claremont Hotel
CHURCHILL HOTEL FIRE SUFFERERS,Churchill Hotel Fire Sufferers
NIPPON YUSEN KAISHA - S.S. KOBE FIARU,Nippon Yusen Kaisha
LOS ANGELES CONSISTORY #3,Los Angeles Consistory #3
SOUTHERN PACIFIC COMPANY,Southern Pacific
LUCHOW'S PAN-AMERICAN RESTAUANT CO.,Luchow's Pan-american Restauant Co.
NORTHERN STEAMSHIP COMPANY,Northern Steamship Co.
LOUISVILLE & NASHVILLE RAILROAAD - THE PULLMAN CO.,Louisville & Nashville Railroaad - The Pullman Co.
OCEANIC STEAMSHIP COMPANY - S.S. ZEALANDIA,Oceanic Steamship Co.
